PDF_URL,Local_File_Path
https://sdgs.un.org/sites/default/files/vlrs/2021-10/sustainable_vantaa_belongs_to_everyone_eng.pdf,precompute-data/download_vlr_pdfs/downloads/86fa2dcf/sustainable_vantaa_belongs_to_everyone_eng.pdf
https://sdgs.un.org/sites/default/files/vlrs/2021-11/informe_local_voluntario-lima-2021_0.pdf,precompute-data/download_vlr_pdfs/downloads/5bd84c75/informe_local_voluntario-lima-2021_0.pdf
https://sdgs.un.org/sites/default/files/vlrs/2021-11/losangeles_2021_vlr.pdf,precompute-data/download_vlr_pdfs/downloads/f6d0978a/losangeles_2021_vlr.pdf
https://sdgs.un.org/sites/default/files/vlrs/2021-12/summary_of_voluntary_local_review_for_shkodra_2020.pdf,precompute-data/download_vlr_pdfs/downloads/1c4b2865/summary_of_voluntary_local_review_for_shkodra_2020.pdf
https://sdgs.un.org/sites/default/files/vlrs/2021-12/vleresimi_vullnetar_lokal_shkoder.pdf,precompute-data/download_vlr_pdfs/downloads/286c9b02/vleresimi_vullnetar_lokal_shkoder.pdf
https://sdgs.un.org/sites/default/files/vlrs/2021-12/vlr_2021_yokohama_for-web2.pdf,precompute-data/download_vlr_pdfs/downloads/738d100f/vlr_2021_yokohama_for-web2.pdf
https://sdgs.un.org/sites/default/files/vlrs/2022-01/sao_paolo_vlr_2021_english.pdf,precompute-data/download_vlr_pdfs/downloads/ade86f99/sao_paolo_vlr_2021_english.pdf
https://sdgs.un.org/sites/default/files/vlrs/2022-01/sao_paolo_vlr_2021_espanol.pdf,precompute-data/download_vlr_pdfs/downloads/11d89213/sao_paolo_vlr_2021_espanol.pdf
https://sdgs.un.org/sites/default/files/vlrs/2022-01/sao_paolo_vlr_2021_portugues.pdf,precompute-data/download_vlr_pdfs/downloads/15f034b0/sao_paolo_vlr_2021_portugues.pdf
https://sdgs.un.org/sites/default/files/vlrs/2022-01/vf_guadalajara_2021.pdf,precompute-data/download_vlr_pdfs/downloads/582b0ce0/vf_guadalajara_2021.pdf
https://sdgs.un.org/sites/default/files/vlrs/2022-03/hawaii_vlr_aloha_2020_benchmark_report_fullreport.pdf,precompute-data/download_vlr_pdfs/downloads/6c652aa6/hawaii_vlr_aloha_2020_benchmark_report_fullreport.pdf
https://sdgs.un.org/sites/default/files/vlrs/2022-03/viken_county-local_voluntary_review_2021.pdf,precompute-data/download_vlr_pdfs/downloads/ead2ffe8/viken_county-local_voluntary_review_2021.pdf
https://sdgs.un.org/sites/default/files/vlrs/2022-03/vlr_surabaya2021_english_fa.pdf,precompute-data/download_vlr_pdfs/downloads/b5893969/vlr_surabaya2021_english_fa.pdf
